Play,Player,URL,Resultstats
Henry IV,KING HENRY IV,https://www.google.com/search?hl=en&q=Henry IV+KING HENRY IV,74800000
Henry IV,WESTMORELAND,https://www.google.com/search?hl=en&q=Henry IV+WESTMORELAND,1240000
Henry IV,FALSTAFF,https://www.google.com/search?hl=en&q=Henry IV+FALSTAFF,840000
Henry IV,PRINCE HENRY,https://www.google.com/search?hl=en&q=Henry IV+PRINCE HENRY,30400000
Henry IV,POINS,https://www.google.com/search?hl=en&q=Henry IV+POINS,113000
Henry IV,EARL OF WORCESTER,https://www.google.com/search?hl=en&q=Henry IV+EARL OF WORCESTER,1420000
Henry IV,NORTHUMBERLAND,https://www.google.com/search?hl=en&q=Henry IV+NORTHUMBERLAND,1900000
Henry IV,HOTSPUR,https://www.google.com/search?hl=en&q=Henry IV+HOTSPUR,588000
Henry IV,SIR WALTER BLUNT,https://www.google.com/search?hl=en&q=Henry IV+SIR WALTER BLUNT,8250000
Henry IV,First Carrier,https://www.google.com/search?hl=en&q=Henry IV+First Carrier,13200000
Henry IV,Ostler,https://www.google.com/search?hl=en&q=Henry IV+Ostler,179000
Henry IV,Second Carrier,https://www.google.com/search?hl=en&q=Henry IV+Second Carrier,10900000
Henry IV,GADSHILL,https://www.google.com/search?hl=en&q=Henry IV+GADSHILL,37200
Henry IV,Chamberlain,https://www.google.com/search?hl=en&q=Henry IV+Chamberlain,5760000
Henry IV,BARDOLPH,https://www.google.com/search?hl=en&q=Henry IV+BARDOLPH,186000
Henry IV,PETO,https://www.google.com/search?hl=en&q=Henry IV+PETO,450000
Henry IV,First Traveller,https://www.google.com/search?hl=en&q=Henry IV+First Traveller,6170000
Henry IV,Thieves,https://www.google.com/search?hl=en&q=Henry IV+Thieves,3520000
Henry IV,Travellers,https://www.google.com/search?hl=en&q=Henry IV+Travellers,3050000
Henry IV,LADY PERCY,https://www.google.com/search?hl=en&q=Henry IV+LADY PERCY,4440000
Henry IV,Servant,https://www.google.com/search?hl=en&q=Henry IV+Servant,10200000
Henry IV,FRANCIS,https://www.google.com/search?hl=en&q=Henry IV+FRANCIS,39400000
Henry IV,Vintner,https://www.google.com/search?hl=en&q=Henry IV+Vintner,207000
Henry IV,Hostess,https://www.google.com/search?hl=en&q=Henry IV+Hostess,2190000
Henry IV,Sheriff,https://www.google.com/search?hl=en&q=Henry IV+Sheriff,7660000
